Sl. No.,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Engine_Location,Fuel_System,Fuel_Tank_Capacity_litre,Fuel_Type,Height_mm,Length_mm,Width_mm,Body_Type,Doors,City_Mileage_km_litre,Highway_Mileage_km_litre,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space_litre,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
115,Hyundai,Aura,Sx (O) 1.2 Petrol,1197,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,Petrol,1520,3995,1680,Sedan,5,,,20.5 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60 R15,175/60 R15,Electric Power,All Windows,,Smart Key,83PS@6000rpm,114Nm@4000rpm,Digital,Digital,Analog,2,5,Leather,Manual,2450 mm,175/60 R15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, Internal",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,Yes,Normal,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,Cup Holders,,,Yes,,,Yes,Yes,,,Yes,,,,,,,,,
116,Hyundai,Aura,S 1.2 Cng Petrol (Cng +,1197,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,CNG + Petrol,1520,3995,1680,Sedan,5,,20.5,20.5 km/litre,20.5 km/kg,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60 R15,175/60 R15,Electric Power,Only Front Windows,,Yes,69PS@6000rpm,95Nm@4000rpm,Digital,,Analog,Yes,5,Fabric,Manual,2450 mm,175/60 R15,,Yes,USB & Aux-in,,,,Yes,Manual,,,Yes,Yes,,Front,Yes,,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,Yes,,Yes,Yes,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,Yes,2,,Rake,,,Rear sensors,,,,,Yes,,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,
117,Hyundai,Aura,Sx Plus 1.0 Petrol,998,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,Petrol,1520,3995,1680,Sedan,5,,,20.5 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60 R15,175/60 R15,Electric Power,All Windows,,Smart Key,100PS@6000rpm,172Nm@1500-4000rpm,Digital,Digital,Analog,Yes,5,Fabric,Manual,2450 mm,175/60 R15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,Yes,Normal,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,Cup Holders,Yes,,Yes,,,Yes,Yes,,,,,,,,,,,,
118,Hyundai,Aura,S 1.2 Diesel,1186,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,Diesel,1520,3995,1680,Sedan,5,,,25.35 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Yes,75PS@4000rpm,190NM@1750-2250RPM,Digital,,Analog,Yes,5,Fabric,Manual,2450 mm,165/70 R14,,Yes,USB & Aux-in,,,,Yes,Manual,,,Yes,Yes,,Front,Yes,,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,Yes,,Yes,Yes,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,Yes,2,,Rake,,,Rear sensors,,,,,Yes,,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,
119,Hyundai,Aura,S 1.2 Amt Diesel,1186,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,Diesel,1520,3995,1680,Sedan,5,,,20.4 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60 R15,175/60 R15,Electric Power,Only Front Windows,,Yes,75PS@4000rpm,190NM@1750-2250RPM,Digital,,Analog,Yes,5,Fabric,Automatic,2450 mm,175/60 R15,,Yes,USB & Aux-in,,,,Yes,Manual,,,Yes,Yes,,Front,Yes,,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,Yes,,Yes,Yes,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,Yes,2,,Rake,,,Rear sensors,,,,,Yes,,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,
120,Hyundai,Aura,Sx Plus 1.2 Amt Diesel,1186,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,Diesel,1520,3995,1680,Sedan,5,,,25.4 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60 R15,175/60 R15,Electric Power,All Windows,,Smart Key,75PS@4000rpm,190NM@1750-2250RPM,Digital,Digital,Analog,Yes,5,Fabric,Automatic,2450 mm,175/60 R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,Yes,Normal,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,Cup Holders,,,Yes,,,Yes,Yes,,,,,,,,,,,,
121,Hyundai,Aura,Sx (O) 1.2 Diesel,1186,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,37,Diesel,1520,3995,1680,Sedan,5,,,25.35 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60 R15,175/60 R15,Electric Power,All Windows,,Smart Key,75PS@4000rpm,190NM@1750-2250RPM,Digital,Digital,Analog,2,5,Leather,Manual,2450 mm,175/60 R15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,Yes,Normal,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,Cup Holders,,,Yes,,,Yes,Yes,,,Yes,,,,,,,,,
122,Volkswagen,Polo,Trendline 1.0L (P),999,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Petrol,1469,3971,1682,Hatchback,5,14,16,18.78 km/litre,,1033 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,175/70R14,175/70R14,Electric Power,Only Front Windows,,,76PS@6200RPM,95Nm@3000-4300rpm,Digital,Analog,Analog,Yes,5,Polyurethene,Manual,2469 mm,175/70R14,,Yes,Not on offer,,,2 years / Unlimited Kms,,Internal,280,,Yes,Yes,Digital,Front,,Front,Yes,"2 years / 100,000 kms (whichever occurs first)",,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,Yes,All Rows,1520 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,,Yes,,2,,"Rake, Reach",,,,Yes,,,,,,,,,Manual Adjustment,,,,,,,,,,,,,,,,,,,,,,,
123,Volkswagen,Polo,Comfortline 1.0 (P),999,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Petrol,1469,3971,1682,Hatchback,5,14,16,18.78 km/litre,,1049 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,185/60R15,185/60R15,Electric Power,All Windows,,Remote,76PS@6200RPM,95Nm@3000-4300rpm,Digital,Analog,Analog,Yes,5,Polyurethene,Manual,2469 mm,185/60R15,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",280,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1520 kg,"Driver frontal airbag, Front passenger frontal airbag",,,Yes,,2,10.5:1,"Rake, Reach",,,,Yes,Yes,,,,,,Yes,,Manual Adjustment,Yes,,,,Yes,,Yes,,,,,,,,,,,,,,,,
124,Volkswagen,Polo,Highline Plus 1.0 (P),999,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Petrol,1469,3971,1682,Hatchback,5,14,16,18.78 km/litre,,1053 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,185/60R16,185/60R16,Electric Power,All Windows,,Remote,76PS@6200RPM,95Nm@3000-4300rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,2469 mm,185/60R16,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",280,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"2 years / 100,000 kms (whichever occurs first)",Yes,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,,,,Yes,Normal,Yes,Yes,,Yes,,Yes,,Yes,Yes,All Rows,1520 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2,10.3:1,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,,Yes,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,
125,Volkswagen,Polo,Trendline 1.5L (D),1498,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Diesel,1469,3971,1682,Hatchback,5,19,20,20.14 km/litre,,1033 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,175/70R14,175/70R14,Electric Power,Only Front Windows,,,90PS@4200rpm,230Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5,Polyurethene,Manual,2469 mm,175/70R14,,Yes,Not on offer,,,2 years / Unlimited Kms,,Internal,280,,Yes,Yes,Digital,Front,,Front,Yes,"2 years / 100,000 kms (whichever occurs first)",,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,Yes,All Rows,1520 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,,Yes,,2,,"Rake, Reach",,,,Yes,,,,,,,,,Manual Adjustment,,,,,,,,,,Yes,,,,,,,,,,,,,
126,Volkswagen,Polo,Comfortline 1.5 (D),1498,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Diesel,1469,3971,1682,Hatchback,5,19,20,20.14 km/litre,,1142 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,185/60R15,185/60R15,Electric Power,All Windows,,Remote,90PS@4200rpm,230Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5,Polyurethene,Manual,2469 mm,185/60R15,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,"With Remote, Internal",280,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"2 years / 100,000 kms (whichever occurs first)",Yes,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1620 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2,,"Rake, Reach",,,,Yes,Yes,,,,,,Yes,,Manual Adjustment,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,
127,Volkswagen,Polo,Highline Plus 1.5 (D),1498,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Diesel,1469,3971,1682,Hatchback,5,19,20,20.14 km/litre,,1158 kg,5,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,185/60R16,185/60R16,Electric Power,All Windows,,Remote,90PS@4200rpm,230Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,2469 mm,185/60R16,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",280,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"2 years / 100,000 kms (whichever occurs first)",Yes,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,,,,Yes,Normal,Yes,Yes,,Yes,,Yes,,Yes,Yes,All Rows,1620 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,,Yes,,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,,,
128,Volkswagen,Polo,Gt Tsi,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Petrol,1469,3971,1682,Hatchback,5,17,17,17.21 km/litre,,1109 kg,7,165 mm,Ventilated Disc,Drum,MacPherson Strut with Staboilizer Bar,Semi-independent trailing arm,1460 mm,1456 mm,185/60R15,185/60R15,Electric Power,All Windows,,Remote,105PS@5000rpm,175Nm@1500-4100rpm,Digital,Analog,Analog,2,5,Fabric,Automatic,2469 mm,185/60R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",280,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"2 years / 100,000 kms (whichever occurs first)",Yes,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,Yes,Normal,Yes,Yes,,,,Yes,,Yes,Yes,All Rows,1580 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,,Yes,Yes,,,,,,,Yes,,,,Yes,,,,,
129,Volkswagen,Polo,Gt Tdi,1498,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45,Diesel,1469,3971,1682,Hatchback,5,19,19,19.91 km/litre,,1148 kg,5,165 mm,Ventilated Disc,Drum,MacPherson Strut with Staboilizer Bar,Semi-independent trailing arm,1460 mm,1456 mm,185/60R15,185/60R15,Electric Power,All Windows,,Remote,110PS@4400rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2469 mm,185/60R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",250,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Push to Open,Digital,Manual,Analog + Digital,Yes,4.97,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,,,,,,Yes,Yes,,,,Yes,,Yes,Yes,All Rows,1620 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,Yes,,Yes,,,Yes,,,,Yes,,,,Yes,,,,,
130,Suzuki,Dzire,Lxi,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1515,3995,1735,Sedan,4,16.3,,22 km/litre,,860 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,,,,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2450 mm,165/80R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378,,,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,Front Row,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,11.0:1,Rake,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,
131,Suzuki,Dzire,Vxi,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1515,3995,1735,Sedan,4,16.3,,22 km/litre,,872 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450 mm,165/80R14,,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,11.0:1,Rake,,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,
132,Suzuki,Dzire,Ldi,1248,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Diesel,1515,3995,1735,Sedan,4,28.4,,28.4 km/litre,,955 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,Only Front Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2450 mm,165/80R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378,,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,Front Row,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,17.6:1,Rake,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,
133,Suzuki,Dzire,Zxi,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1515,3995,1735,Sedan,4,16.3,,22 km/litre,,882 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,11.0:1,Rake,,,Rear sensors,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,,Yes,,,,,,,,,,,,
134,Suzuki,Dzire,Vdi,1248,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Diesel,1515,3995,1735,Sedan,4,28.4,,28.4 km/litre,,967 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450 mm,165/80R14,,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,17.6:1,Rake,,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,
135,Suzuki,Dzire,Vxi Amt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1515,3995,1735,Sedan,4,16.3,,22 km/litre,,872 kg,4,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,165/80R14,165/80R14,Electric Power,All Windows,,Remote,84.3PS@6000rpm,115Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450 mm,165/80R14,,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Internal,378,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,11.0:1,Rake,,,,Yes,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,
136,Suzuki,Dzire,Zdi Amt,1248,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Diesel,1515,3995,1735,Sedan,4,28.4,,28.4 km/litre,,978 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450 mm,185/65R15,Yes,Yes,,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,378,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1405 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2,17.6:1,Rake,,,Rear sensors,Yes,Yes,,,,,Yes,Yes,Yes,Manual Adjustment,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,
